product_category,product_name,brand,current_market_price,purchase_price,purchase_age_days,initial_warranty_days,warranty_left_days,condition_score,condition_grade,scratch_severity,dent_severity,crack_severity,usage_severity,missing_accessories,seller_description,resale_price
Refrigerators,Samsung 653L French Door,Samsung,46000,42900,2059,1672,0,39.4,Reject,6,6,4,3,TRUE,Damaged device. Cracks and deep dents. Missing all accessories.,7030
Washing Machines,Samsung 7kg Top Load,Samsung,56300,61800,2084,1225,0,16.4,Reject,6,5,6,9,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,5630
Tablets,iPad mini 6,Apple,9700,9100,401,1817,1602,59.8,D,8,6,0,4,FALSE,Visible damage on body. Functional but cosmetically worn. No accessories.,4040
Laptops,MacBook Pro 14 M3 Pro,Apple,137100,134800,497,1736,1423,15.4,Reject,8,9,5,3,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,13710
Laptops,EliteBook 840 G10,HP,206000,245600,1482,657,0,7.8,Reject,8,3,9,5,TRUE,Cracked screen with multiple dents. Missing charger and box. Functional.,20600
Furniture,Godrej Interio Dining Table Set,Godrej,45000,52300,1614,1190,0,21.9,Reject,4,8,8,6,FALSE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor.,4500
Furniture,IKEA LACK Side Table,IKEA,155100,197900,2191,1538,0,35.5,Reject,2,8,2,8,TRUE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,23720
Refrigerators,LG 655L French Door,LG,71200,78600,1405,1054,0,15.8,Reject,10,6,7,6,FALSE,Cracked display corner and heavy dents. Works but in poor cosmetic condition.,7120
Headphones,JBL Quantum 800,JBL,9500,12200,1150,1356,289,54.9,D,7,5,2,1,TRUE,Heavily used. Multiple scratches and dents. Works fine for daily use. Missing some original accessories.,2850
Refrigerators,Whirlpool 215L Single Door,Whirlpool,139300,164400,2002,742,0,43.9,D,4,1,10,1,FALSE,Significant wear. Cracked corner but device works properly.,21570
Washing Machines,LG 9kg Front Load FHP1209Z5W,LG,78500,97000,483,1797,1471,46.6,D,6,4,5,3,FALSE,Heavily used. Multiple scratches and dents. Works fine for daily use.,21060
Laptops,Victus 16,HP,120200,150800,1652,1082,0,61.7,C,3,0,0,9,TRUE,Visible wear and dents. Missing original packaging. Fully functional.,33980
Washing Machines,Samsung 8kg Front Load,Samsung,17700,21100,2358,1153,0,72.2,C,2,4,2,2,FALSE,Moderate scratches on body. Device works great. Original charger included.,5990
Headphones,WF-1000XM4,Sony,15900,17800,2326,1467,0,53.1,D,6,10,0,1,TRUE,Heavily used. Multiple scratches and dents. Works fine for daily use. Missing some original accessories.,3110
Televisions,"Samsung 65"" QLED 4K Q80C",Samsung,253200,261700,103,1634,1531,97.1,A,1,1,0,0,FALSE,Excellent condition. Used very carefully. All original accessories present.,240540
Washing Machines,Samsung 9kg Front Load WW90T,Samsung,32100,30900,1610,263,0,15.8,Reject,7,4,6,10,TRUE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,3210
Washing Machines,Whirlpool 8kg Top Load,Whirlpool,66200,61200,2455,1594,0,5.1,Reject,5,6,7,10,TRUE,Cracked screen with multiple dents. Missing charger and box. Functional.,6620
Refrigerators,Whirlpool 215L Single Door,Whirlpool,88000,109500,2037,1109,0,70.1,C,8,2,1,2,FALSE,Regular use marks visible. Battery health good. Missing some accessories.,36140
Refrigerators,Godrej 261L Double Door,Godrej,99800,100500,1620,185,0,48.5,D,0,7,5,1,TRUE,Heavily used. Multiple scratches and dents. Works fine for daily use. Missing some original accessories.,21370
Laptops,Latitude 5540,Dell,175800,177700,394,1805,1489,35.3,Reject,2,5,3,10,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,32520
Smart Watches,Sony SmartWatch 4,Sony,47100,51400,1803,1091,0,40.5,D,5,9,0,7,TRUE,Significant wear. Cracked corner but device works properly. Missing some original accessories.,6200
Headphones,WF-1000XM4,Sony,21900,25500,418,868,555,68.9,C,2,2,0,9,FALSE,Visible wear and dents. Missing original packaging. Fully functional.,10650
Microwaves,LG 32L Convection MC3286BRUM,LG,12200,15200,1417,611,0,55.1,D,7,1,0,10,TRUE,Visible damage on body. Functional but cosmetically worn. No accessories. Missing some original accessories.,3320
Microwaves,Samsung 23L Solo MS23A3513AK,Samsung,23400,23500,294,1530,1303,57.2,D,7,2,2,5,FALSE,Visible damage on body. Functional but cosmetically worn. No accessories.,9900
Headphones,AirPods Pro 2,Apple,14400,16700,1999,812,0,13.2,Reject,5,10,5,7,TRUE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,1440
Televisions,"Sony 43"" BRAVIA X75L",Sony,111400,101000,2385,1789,0,15.5,Reject,9,4,7,5,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,11140
Headphones,AirPods Pro 2,Apple,17000,16900,1237,1089,0,49.9,D,7,1,4,6,FALSE,Visible damage on body. Functional but cosmetically worn. No accessories.,3850
Furniture,Godrej Interio Dining Table Set,Godrej,162100,199100,1006,775,0,34.3,Reject,5,9,5,0,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,25680
Mobile Phones,iPhone 13,Apple,13600,15600,1856,386,0,19,Reject,10,9,3,7,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,1360
Headphones,AirPods 3rd Gen,Apple,22200,26200,730,1263,613,68.4,C,1,6,2,1,FALSE,Regular use marks visible. Battery health good. Missing some accessories.,10130
Furniture,Godrej Interio Study Table,Godrej,81000,81000,811,1799,1097,24.7,Reject,3,5,10,5,FALSE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor.,8100
Tablets,Tab M9,Lenovo,23400,28400,876,652,0,70,C,3,9,0,1,FALSE,Used condition with visible signs of wear. All functions working perfectly.,10410
Tablets,Galaxy Tab A8,Samsung,30300,34700,1771,1009,0,17.5,Reject,5,7,9,6,FALSE,Damaged device. Cracks and deep dents. Missing all accessories.,3030
Televisions,"Samsung 55"" OLED S95C",Samsung,214000,265700,46,1540,1507,26.4,Reject,10,3,5,10,FALSE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor.,26540
Washing Machines,Samsung 7kg Top Load,Samsung,97700,101300,1701,665,0,60.1,C,9,4,1,2,FALSE,Visible wear and dents. Missing original packaging. Fully functional.,31580
Tablets,Tab M10 Plus,Lenovo,76900,93700,681,334,0,42.2,D,2,5,2,6,TRUE,Old device with heavy signs of usage. Minor crack on edge. Working. Missing some original accessories.,14650
Furniture,IKEA LACK Side Table,IKEA,162200,202100,1616,1732,310,14.7,Reject,4,10,10,4,FALSE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor.,16220
Refrigerators,Whirlpool 265L Double Door,Whirlpool,50100,46600,2134,379,0,56.6,D,10,5,1,3,FALSE,Heavy usage marks and dents. Missing original accessories. Functional.,13790
Refrigerators,LG 655L French Door,LG,38900,47900,2212,385,0,17.8,Reject,7,6,8,4,TRUE,Cracked screen with multiple dents. Missing charger and box. Functional.,3890
Headphones,Boat Airdopes 141,Boat,7500,9600,83,1343,1260,99.7,A,1,0,0,0,FALSE,"Mint condition. Purchased recently, upgrading device. Complete kit available.",7120
Smart Watches,Galaxy Watch 6 Classic,Samsung,15300,16900,1618,776,0,57.6,D,0,9,0,6,FALSE,Significant wear. Cracked corner but device works properly.,3840
Microwaves,LG 28L Convection MJEN286SF,LG,27200,28500,1980,1042,0,33.4,Reject,1,10,6,2,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,2990
Washing Machines,Whirlpool 7kg Top Load,Whirlpool,69100,65000,29,1356,1327,99.1,A,0,0,0,1,FALSE,Almost brand new. Original packaging intact. No signs of use.,65640
Headphones,Boat Nirvana Ion,Boat,12600,14300,342,1001,668,1.2,Reject,10,3,9,10,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,1260
Mobile Phones,Galaxy M54,Samsung,12200,12400,1378,1535,186,8.8,Reject,9,7,10,0,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,1220
Laptops,Vostro 15 3530,Dell,248500,237800,1603,1131,0,51.2,D,2,1,5,3,TRUE,Significant wear. Cracked corner but device works properly. Missing some original accessories.,48070
Refrigerators,LG 687L Side-by-Side,LG,121400,116100,464,1047,729,27.1,Reject,0,8,8,7,FALSE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor.,13020
Furniture,IKEA BILLY Bookcase,IKEA,154800,162100,946,1728,910,0,Reject,3,10,9,10,TRUE,Damaged device. Cracks and deep dents. Missing all accessories.,15480
Laptops,IdeaPad Slim 5,Lenovo,97800,97900,2351,625,0,77.3,B,5,1,0,2,TRUE,Good condition with light usage marks. Works perfectly fine. Missing some original accessories.,31870
Televisions,"Samsung 55"" OLED S95C",Samsung,35200,36300,2103,1480,0,53.4,D,9,9,0,3,FALSE,Visible damage on body. Functional but cosmetically worn. No accessories.,7550
Laptops,Legion 5 Pro,Lenovo,38700,42400,110,573,471,45.4,D,8,7,0,9,FALSE,Visible damage on body. Functional but cosmetically worn. No accessories.,11750
Mobile Phones,Galaxy S24+,Samsung,144800,145000,950,1738,950,47.3,D,9,5,3,3,FALSE,Old device with heavy signs of usage. Minor crack on edge. Working.,34190
Microwaves,LG 20L Solo MS2043DB,LG,18900,22100,358,199,0,31.6,Reject,5,6,3,6,TRUE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,2620
Mobile Phones,iPhone 14 Pro Max,Apple,34800,39400,1722,1712,174,28.7,Reject,5,7,4,5,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,3480
Mobile Phones,Galaxy F54,Samsung,132300,142300,1852,419,0,13.8,Reject,9,4,5,9,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,13230
Refrigerators,Whirlpool 450L Multi-Door,Whirlpool,67900,64300,441,284,0,25.6,Reject,9,7,6,4,FALSE,Damaged device. Cracks and deep dents. Missing all accessories.,7230
Washing Machines,LG 6kg Top Load T60SJSF1Z,LG,23500,26500,1868,490,0,35.8,Reject,9,3,4,8,FALSE,Cracked screen with multiple dents. Missing charger and box. Functional.,3440
Smart Watches,Sony Wena 3,Sony,43400,43500,1558,1262,0,24.3,Reject,0,6,6,9,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,4340
Laptops,Latitude 5540,Dell,50400,53600,2245,1155,0,16.2,Reject,7,7,7,7,FALSE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor.,5040
Furniture,Godrej Interio Boston Bed,Godrej,75900,83400,2414,556,0,21.9,Reject,7,1,10,1,TRUE,Cracked screen with multiple dents. Missing charger and box. Functional.,7590
Tablets,Tab M9,Lenovo,38200,37200,134,1013,1013,40.8,D,10,2,4,3,TRUE,Heavy usage marks and dents. Missing original accessories. Functional.,8460
Tablets,iPad mini 6,Apple,50400,50000,1147,956,0,25.5,Reject,0,6,9,4,TRUE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,5040
Smart Watches,Galaxy Watch 5,Samsung,38600,40800,2017,1406,0,15.2,Reject,8,5,6,7,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,3860
Televisions,"Sony 43"" BRAVIA X75L",Sony,164200,199000,1396,682,0,40.2,D,5,3,7,6,FALSE,Old device with heavy signs of usage. Minor crack on edge. Working.,24140
Mobile Phones,Galaxy S23 Ultra,Samsung,146400,155800,1240,450,0,31,Reject,0,7,8,6,FALSE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor.,14640
Mobile Phones,iPhone 11 Pro,Apple,92600,88200,502,690,207,48.9,D,0,1,9,5,FALSE,Old device with heavy signs of usage. Minor crack on edge. Working.,20470
Furniture,IKEA STEFAN Chair,IKEA,113600,137500,20,1811,1791,92.2,A,1,0,0,1,FALSE,Pristine condition with all accessories. No scratches or dents whatsoever.,107920
Furniture,IKEA STEFAN Chair,IKEA,183200,207200,1269,795,0,48.6,D,3,3,2,8,TRUE,Heavy usage marks and dents. Missing original accessories. Functional.,47240
Tablets,Tab M8,Lenovo,30500,35800,615,223,0,56.6,D,10,0,1,7,FALSE,Heavy usage marks and dents. Missing original accessories. Functional.,10890
Washing Machines,LG 6kg Top Load T60SJSF1Z,LG,65800,76600,280,293,81,16.9,Reject,2,7,5,10,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,6580
Microwaves,LG 20L Solo MS2043DB,LG,10100,9300,1632,293,0,33.7,Reject,5,4,8,3,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,1090
Tablets,iPad mini 6,Apple,23600,26300,43,1052,1021,17.6,Reject,4,5,7,9,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,2360
Refrigerators,Samsung 580L Side-by-Side,Samsung,11000,11500,438,1338,1010,42.9,D,7,10,2,0,TRUE,Old device with heavy signs of usage. Minor crack on edge. Working. Missing some original accessories.,2700
Tablets,Tab P11 Pro,Lenovo,17100,16900,612,1337,840,15,Reject,4,9,10,3,FALSE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,1710
Laptops,Omen 16,HP,241900,278800,2362,840,0,0,Reject,7,8,8,10,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,24190
Refrigerators,Godrej 564L French Door,Godrej,107400,101400,1269,555,0,13.7,Reject,7,3,9,6,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,10740
Smart Watches,Sony Wena 3,Sony,14100,16400,112,1756,1644,92.6,A,2,1,0,1,FALSE,Excellent condition. Used very carefully. All original accessories present.,13395
Smart Watches,Sony SmartWatch 4,Sony,15400,19300,1247,1455,326,37.3,Reject,2,9,6,5,FALSE,Damaged device. Cracks and deep dents. Missing all accessories.,2040
Smart Watches,Sony Wena 3,Sony,58800,67300,2341,276,0,28.6,Reject,4,8,10,0,FALSE,Cracked display corner and heavy dents. Works but in poor cosmetic condition.,5880
Mobile Phones,iPhone 11 Pro,Apple,17000,17300,2464,314,0,25.1,Reject,7,3,7,6,TRUE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,1700
Tablets,Galaxy Tab S9,Samsung,50800,64500,905,1024,319,48.4,D,0,9,1,4,TRUE,Significant wear. Cracked corner but device works properly. Missing some original accessories.,11870
Laptops,MacBook Air 13 M2,Apple,62400,60700,1273,314,0,22.1,Reject,5,6,9,0,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,6240
Smart Watches,Apple Watch Series 9,Apple,43500,56300,1118,1098,58,74.1,C,8,2,0,3,FALSE,Used condition with visible signs of wear. All functions working perfectly.,16660
Furniture,Godrej Interio Dining Table Set,Godrej,83700,98500,1953,1812,0,60,C,3,9,0,2,TRUE,Some scratches and minor dents but fully functional. No box. Missing some original accessories.,27820
Smart Watches,Galaxy Watch 5 Pro,Samsung,2700,3200,2,1419,1417,96.8,A,0,0,0,1,FALSE,Like new condition. Original charger and box included. Barely used for 2 months.,2560
Headphones,JBL Tune 770NC,JBL,18600,20400,1331,831,0,47.8,D,0,4,2,10,TRUE,Heavy usage marks and dents. Missing original accessories. Functional.,3670
Washing Machines,LG 9kg Front Load FHP1209Z5W,LG,83000,83600,2339,640,0,71.1,C,5,2,0,5,FALSE,Moderate scratches on body. Device works great. Original charger included.,30280
Furniture,IKEA LACK Side Table,IKEA,35700,38800,912,864,68,76.6,B,8,0,0,3,FALSE,Good condition with light usage marks. Works perfectly fine.,23420
Headphones,JBL Tune 770NC,JBL,25500,31500,853,283,0,59.1,D,6,4,1,2,TRUE,Old device with heavy signs of usage. Minor crack on edge. Working. Missing some original accessories.,8420
Televisions,"Sony 55"" BRAVIA X90L",Sony,217200,235300,226,675,507,53.6,D,5,1,6,0,TRUE,Heavy usage marks and dents. Missing original accessories. Functional.,71720
Microwaves,Godrej 23L Solo GME 723 CF1,Godrej,16000,16700,2189,1201,0,48.6,D,4,10,0,4,TRUE,Heavily used. Multiple scratches and dents. Works fine for daily use. Missing some original accessories.,3130
Refrigerators,Godrej 564L French Door,Godrej,20000,22700,641,940,394,35.7,Reject,2,5,3,8,TRUE,Cracked screen with multiple dents. Missing charger and box. Functional.,3430
Smart Watches,Sony SmartWatch 4,Sony,63400,65900,915,1673,934,19.8,Reject,4,1,9,7,TRUE,Damaged device. Cracks and deep dents. Missing all accessories.,6340
Microwaves,Samsung 23L Solo MS23A3513AK,Samsung,18000,17900,2110,1473,0,31.5,Reject,6,3,9,4,FALSE,Cracked screen with multiple dents. Missing charger and box. Functional.,1800
Televisions,"LG 43"" UHD 4K UR8050",LG,268600,318700,25,827,802,96.8,A,0,0,0,1,FALSE,Like new condition. Original charger and box included. Barely used for 2 months.,255170
Headphones,WH-1000XM5,Sony,13300,15000,1579,1205,0,7.2,Reject,6,9,7,7,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,1330
Mobile Phones,iPhone 11 Pro,Apple,117200,107300,181,341,232,65.8,C,6,1,0,3,TRUE,Visible wear and dents. Missing original packaging. Fully functional.,58990
Televisions,"LG 55"" QNED 80",LG,21100,25700,1601,1524,0,37.7,Reject,3,8,8,1,FALSE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,2680
Refrigerators,Samsung 236L Single Door,Samsung,140600,178900,19,897,878,98.9,A,1,0,0,1,FALSE,"Mint condition. Purchased recently, upgrading device. Complete kit available.",133570
Tablets,Galaxy Tab S8,Samsung,20700,18900,1963,499,0,33.8,Reject,0,10,8,1,FALSE,Cracked display corner and heavy dents. Works but in poor cosmetic condition.,2070
Smart Watches,Galaxy Watch 5,Samsung,21200,23000,915,1669,939,62.6,C,0,8,3,0,FALSE,Regular use marks visible. Battery health good. Missing some accessories.,7100
Furniture,Godrej Interio Slimline Wardrobe,Godrej,128700,133700,21,1567,1546,93,A,1,1,0,1,FALSE,Almost brand new. Original packaging intact. No signs of use.,122260
Washing Machines,Whirlpool 6.5kg Top Load,Whirlpool,50400,46700,2299,871,0,56.8,D,1,1,6,4,FALSE,Old device with heavy signs of usage. Minor crack on edge. Working.,11960
Refrigerators,Godrej 192L Single Door,Godrej,149600,149500,367,1211,856,23.2,Reject,10,7,3,9,TRUE,Damaged device. Cracks and deep dents. Missing all accessories.,14960
Washing Machines,LG 7kg Top Load T70SKSF1Z,LG,31600,34400,7,1167,1160,94.9,A,0,0,0,1,FALSE,Like new condition. Original charger and box included. Barely used for 2 months.,30020
Furniture,IKEA FRIHETEN Sofa Bed,IKEA,22400,22700,4,1558,1554,96.9,A,0,0,0,1,FALSE,Excellent condition. Used very carefully. All original accessories present.,21280
Headphones,JBL Free X,JBL,1900,1800,1402,785,0,3,Reject,8,0,10,9,TRUE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,190
Televisions,"LG 77"" OLED evo G3",LG,49200,51700,64,1383,1319,91.5,A,2,0,0,2,FALSE,Like new condition. Original charger and box included. Barely used for 2 months.,46740
Headphones,WF-1000XM5,Sony,7100,7300,926,216,0,34.9,Reject,4,1,7,9,FALSE,Cracked display corner and heavy dents. Works but in poor cosmetic condition.,980
Tablets,Tab M9,Lenovo,43800,42800,409,1248,994,64,C,2,2,5,2,FALSE,Visible wear and dents. Missing original packaging. Fully functional.,17880
Mobile Phones,iPhone 15,Apple,45000,42800,1176,259,0,60.7,C,7,7,1,2,FALSE,Regular use marks visible. Battery health good. Missing some accessories.,13700
Mobile Phones,Galaxy S24+,Samsung,139200,172700,680,1761,1210,65.1,C,0,5,1,6,FALSE,Visible wear and dents. Missing original packaging. Fully functional.,61910
Tablets,iPad mini 6,Apple,17200,19100,1204,1759,625,22.1,Reject,9,0,9,8,FALSE,Damaged device. Cracks and deep dents. Missing all accessories.,1720
Tablets,Galaxy Tab S8,Samsung,52000,64000,1155,800,0,79.6,B,5,0,0,4,FALSE,Good working condition. Minor cosmetic marks from regular use.,25020
Televisions,"Sony 55"" BRAVIA X90L",Sony,220000,219500,1875,660,0,45.6,D,6,5,3,7,FALSE,Visible damage on body. Functional but cosmetically worn. No accessories.,40150
Furniture,IKEA HEMNES Wardrobe,IKEA,157800,180200,1019,1551,678,78.7,B,6,1,0,4,FALSE,Good working condition. Minor cosmetic marks from regular use.,98620
Furniture,IKEA MALM Bed Frame,IKEA,163100,199300,513,1682,1249,0,Reject,6,10,10,9,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,16310
Smart Watches,Galaxy Watch 6 Classic,Samsung,67900,67100,322,755,456,85,B,4,2,0,2,FALSE,Good working condition. Minor cosmetic marks from regular use.,52390
Laptops,Spectre x360 14,HP,238200,246900,163,1417,1254,91.7,A,0,1,0,2,FALSE,Almost brand new. Original packaging intact. No signs of use.,216480
Mobile Phones,Galaxy Z Fold 5,Samsung,10200,12200,196,971,891,16.2,Reject,7,3,10,4,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,1020
Headphones,JBL Endurance Run,JBL,5900,7100,1875,851,0,55.9,D,9,4,0,7,FALSE,Visible damage on body. Functional but cosmetically worn. No accessories.,1490
Headphones,JBL Quantum 800,JBL,25500,29200,2152,1101,0,37.3,Reject,3,3,9,1,TRUE,Cracked screen with multiple dents. Missing charger and box. Functional.,2550
Tablets,Tab M8,Lenovo,77400,71900,1579,214,0,78.9,B,7,1,0,3,FALSE,Good working condition. Minor cosmetic marks from regular use.,32110
Mobile Phones,Galaxy Z Flip 5,Samsung,139600,147800,2046,1583,0,0,Reject,10,7,8,9,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,13960
Mobile Phones,Galaxy S23+,Samsung,13000,13200,1191,1247,158,17.6,Reject,4,8,6,10,FALSE,Cracked display corner and heavy dents. Works but in poor cosmetic condition.,1300
Mobile Phones,iPhone 13 Pro,Apple,123100,112000,3,1113,1110,98.7,A,1,0,0,1,FALSE,Pristine condition with all accessories. No scratches or dents whatsoever.,116940
Microwaves,LG 32L Convection MC3286BRUM,LG,32200,36700,828,255,0,64.6,C,1,1,7,1,FALSE,Used condition with visible signs of wear. All functions working perfectly.,10410
Furniture,IKEA POÄNG Armchair,IKEA,184500,185800,1204,356,0,17,Reject,9,6,7,4,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,18450
Washing Machines,Whirlpool 8kg Top Load,Whirlpool,43700,42200,2325,403,0,54.8,D,0,3,3,5,TRUE,Heavily used. Multiple scratches and dents. Works fine for daily use. Missing some original accessories.,9350
Furniture,IKEA FRIHETEN Sofa Bed,IKEA,125700,162400,879,1653,872,0,Reject,9,7,10,7,TRUE,Damaged device. Cracks and deep dents. Missing all accessories.,12570
Washing Machines,Whirlpool 7.5kg Front Load,Whirlpool,34600,38000,624,581,148,18.4,Reject,5,8,6,5,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,3460
Televisions,"Sony 65"" BRAVIA XR A95L OLED",Sony,85600,79700,124,1222,1098,93,A,2,1,0,1,FALSE,Excellent condition. Used very carefully. All original accessories present.,81320
Refrigerators,Samsung 580L Side-by-Side,Samsung,132200,162600,1895,1424,0,26,Reject,6,3,7,6,TRUE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,13220
Refrigerators,Whirlpool 450L Multi-Door,Whirlpool,52300,51400,2428,1275,0,54.4,D,0,1,4,10,FALSE,Significant wear. Cracked corner but device works properly.,12350
Furniture,IKEA HEMNES Wardrobe,IKEA,132600,144600,406,1663,1395,46.7,D,6,9,2,5,FALSE,Heavy usage marks and dents. Missing original accessories. Functional.,42020
Refrigerators,Samsung 324L Double Door,Samsung,64500,59400,197,1545,1368,68.7,C,1,10,0,1,FALSE,Regular use marks visible. Battery health good. Missing some accessories.,38270
Microwaves,Samsung 32L Convection MC32A7056CC,Samsung,12700,12700,2107,347,0,58.8,D,3,0,0,10,TRUE,Visible damage on body. Functional but cosmetically worn. No accessories. Missing some original accessories.,3860
Furniture,IKEA FRIHETEN Sofa Bed,IKEA,96100,94000,465,330,0,33.2,Reject,7,2,3,8,TRUE,Damaged device. Cracks and deep dents. Missing all accessories.,17020
Refrigerators,Godrej 311L Double Door,Godrej,94800,90100,295,1761,1601,54.9,D,2,0,6,3,TRUE,Heavy usage marks and dents. Missing original accessories. Functional.,32340
Microwaves,LG 28L Convection MJEN286SF,LG,24100,27700,915,239,0,73.9,C,6,0,0,5,FALSE,Moderate scratches on body. Device works great. Original charger included.,12240
Refrigerators,Samsung 580L Side-by-Side,Samsung,128700,138200,171,1686,1515,95.8,A,0,0,0,2,FALSE,"Mint condition. Purchased recently, upgrading device. Complete kit available.",122260
Tablets,Tab M8,Lenovo,66000,83500,67,1692,1625,95.1,A,2,1,0,0,FALSE,"Mint condition. Purchased recently, upgrading device. Complete kit available.",62700
Washing Machines,LG 9kg Front Load FHP1209Z5W,LG,37100,41100,1018,1821,994,25,Reject,8,6,8,1,TRUE,Cracked screen with multiple dents. Missing charger and box. Functional.,3710
Washing Machines,LG 8kg Front Load FHM1408BDL,LG,64400,71300,1313,1330,144,22.4,Reject,5,5,5,9,TRUE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,6440
Microwaves,Godrej 28L Convection GME 728 CF2,Godrej,32900,30300,1460,1361,0,56.5,D,0,4,6,3,FALSE,Visible damage on body. Functional but cosmetically worn. No accessories.,9310
Washing Machines,Whirlpool 7kg Top Load,Whirlpool,29500,28800,2084,788,0,40.5,D,0,2,9,5,FALSE,Visible damage on body. Functional but cosmetically worn. No accessories.,3760
Microwaves,Samsung 32L Convection MC32A7056CC,Samsung,18700,23700,2340,580,0,17.2,Reject,7,9,5,5,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,1870
Headphones,AirPods Pro 2,Apple,3500,4100,109,1635,1526,97.2,A,0,1,0,1,FALSE,Almost brand new. Original packaging intact. No signs of use.,3320
Laptops,MacBook Pro 14 M3 Pro,Apple,103900,116600,1,600,599,96.3,A,0,0,0,1,FALSE,"Mint condition. Purchased recently, upgrading device. Complete kit available.",98700
Tablets,Tab M10 Plus,Lenovo,53200,69000,2289,465,0,69.2,C,2,1,0,7,TRUE,Some scratches and minor dents but fully functional. No box. Missing some original accessories.,13920
Refrigerators,Whirlpool 265L Double Door,Whirlpool,30900,27800,548,193,0,56.9,D,0,8,4,2,FALSE,Visible damage on body. Functional but cosmetically worn. No accessories.,11000
Tablets,Galaxy Tab A9+,Samsung,58300,70200,858,1468,711,41.1,D,2,9,5,5,FALSE,Heavy usage marks and dents. Missing original accessories. Functional.,10900
Refrigerators,Samsung 653L French Door,Samsung,81900,94000,2203,1754,0,53.6,D,2,6,2,3,TRUE,Significant wear. Cracked corner but device works properly. Missing some original accessories.,20990
Tablets,iPad Air 5,Apple,10800,12900,2167,652,0,11.4,Reject,3,10,4,10,TRUE,Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,1080
Refrigerators,LG 655L French Door,LG,147300,177800,580,1327,754,41,D,1,6,6,3,TRUE,Visible damage on body. Functional but cosmetically worn. No accessories. Missing some original accessories.,28920
Televisions,"Sony 43"" BRAVIA X75L",Sony,12700,12500,830,700,0,53.4,D,3,2,3,5,TRUE,Heavy usage marks and dents. Missing original accessories. Functional.,3660
Televisions,"Sony 43"" BRAVIA X75L",Sony,238700,246500,113,384,355,30.1,Reject,1,7,6,4,TRUE,Severe physical damage. Multiple cracks. Missing charger. Powers on.,36200
Mobile Phones,iPhone 14 Pro,Apple,23400,24400,1302,217,0,0,Reject,6,9,9,6,TRUE,Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,2340
